TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
9274 Seconds 	DDMs loading begins
0	95	120	155	220	250	76.0	56.7987	40.8437	85.0	0.5911398444190331	0.0	0.0	0.0	x95:	30.0	24.629	30.0	21.9492	21.2187	7.24228E-8	13.0737	30.0	29.4206	28.0997	16.4611	25.1034	18.0143	7.71464E-7	2.80504E-6	23.0374	30.0	22.7367	16.0675	13.8733	3.60084E-7	8.89571	1.02704E-6	20.8987	28.3023	27.6146	30.0	30.0	8.30632	4.61154E-7	7.27241E-8	7.95456E-4	17.1329	19.4964	20.5604	18.7252	24.7985	15.6196	1.21474	8.70394E-8	0.160164	30.0	30.0	30.0	22.0473	30.0	29.5531	2.46244E-7	30.0	2.49453E-7	4.93096E-7	1.67791	9.76952E-8	5.829	30.0	1.88315E-7	1.51714	8.37671	1.95072E-5	x120:	30.0	26.3989	18.4687	20.583	2.95231	3.23317E-8	30.0	21.6859	18.2515	15.484	26.0608	30.0	30.0	2.44118	17.8708	24.4031	24.6973	16.0315	25.5439	21.1838	26.2232	16.7066	21.3614	30.0	17.701	16.5182	30.0	29.8258	29.8551	16.3943	8.74729E-8	14.0273	5.90253	18.3726	9.64609E-6	16.9571	9.98277	5.614	30.0	1.13615E-7	7.5946	1.40531	14.1432	3.17884	21.2114	13.2537	9.90753E-8	1.38903E-7	4.97975	3.57079E-7	6.37612	0.325426	21.3999	17.4315	4.58685E-7	2.10515E-6	28.8697	1.9248	1.77566	17.1871	26.5646	12.8756	8.72595	15.8046	x155:	1.09209E-6	2.53457E-6	19.0777	1.33371E-7	2.69325E-8	3.70003E-8	30.0	4.04446E-7	9.50268	10.5491	14.8812	8.88369	23.9191	2.80996E-7	1.2466E-7	30.0	7.33409	11.0899	7.53315	8.99388	3.94214	22.7998	12.5725	8.3027E-8	27.9964	2.99987E-6	2.17902E-6	7.32117	6.54618	4.50094	15.6305	9.91222	1.1136E-7	18.5228	6.18197	4.15805	10.2402	5.65664	5.19369	15.0212	0.948643	1.19971E-7	15.6319	8.74797	3.29161	11.8821	3.39758	4.20136	14.129	2.82867E-7	1.33522E-7	15.2791	7.15122	8.56671	15.3988	1.72531	4.07367	7.95608	5.56482E-8	6.12717E-7	1.71984	1.41083E-6	7.93404E-8	3.30573E-7	8.85477	16.0399	6.27101	14.2851	23.7072	x220:	12.3281	18.8602	2.95692	5.73173E-7	7.9251	10.284	19.6468	6.43077E-6	1.08132E-7	7.53535E-8	5.31611E-7	3.19796	12.7112	6.97291	13.7208	3.29702	2.93212	3.58357E-8	7.05649E-8	7.42647E-7	4.34006	12.7278	5.80158E-7	9.85391	8.48361	2.87688	7.7634	1.31435E-5	1.98824E-7	9.77668	10.0919	1.68862	8.19359	15.4602	5.80236	9.11773	0.743719	1.43233E-7	13.601	5.72123	2.23743	1.21823	15.5451	3.26342	10.9256	6.61122	1.24261E-7	27.93	26.5956	15.9892	12.5199	19.9357	0.128929	20.4304	9.38527	1.02006E-7	30.0	25.1929	18.1471	11.3785	22.8032	12.9599	30.0	7.9199	1.24517E-7	5.20694	7.79869	30.0	0.395335	5.4083E-8	x250:	12.0112	3.1152	4.67941	8.68542E-6	4.21942E-7	3.27015	11.1591	1.0672	7.47151E-7	5.79898	4.1978	14.0786	12.3598	4.66985E-8	0.303204	0.0958054	8.53877E-7	17.0943	17.5207	11.9588	1.96896	7.83787	1.72245	1.34579E-7	1.00449E-6	14.2358	17.7989	17.172	15.7301	0.248857	8.55175	8.30143	25.929	1.13073E-7	29.0853	30.0	17.3019	30.0	15.9348	27.6076	30.0	17.8625	8.6026E-8	13.3722	18.6302	24.5938	29.7803	20.1505	30.0	20.4587	17.6247	4.5164	8.73183	21.8246	27.8572	23.3608	30.0	27.605	7.08012	30.0	30.0	30.0	21.5043	12.1088	7.37246E-4	
0 Seconds 	rMIP ended with better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	rMIP for beam angle 1 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
122 Seconds 	prepareampl: rMIP fixed solved
122 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
122 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
33 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
155 Seconds 	rMIP for beam angle 2 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
122 Seconds 	prepareampl: rMIP fixed solved
122 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
122 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
122 Seconds 	rMIP for beam angle 3 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
115 Seconds 	prepareampl: rMIP fixed solved
115 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
115 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
0 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
115 Seconds 	rMIP for beam angle 4 ended, worst solution 
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	rMIP for beam angle 5 ended, worst solution 
0	95	120	155	220	250	76.0	56.7987	40.8437	85.0	0.5911398444190331	0.0	0.0	0.0	x95:	30.0	24.629	30.0	21.9492	21.2187	7.24228E-8	13.0737	30.0	29.4206	28.0997	16.4611	25.1034	18.0143	7.71464E-7	2.80504E-6	23.0374	30.0	22.7367	16.0675	13.8733	3.60084E-7	8.89571	1.02704E-6	20.8987	28.3023	27.6146	30.0	30.0	8.30632	4.61154E-7	7.27241E-8	7.95456E-4	17.1329	19.4964	20.5604	18.7252	24.7985	15.6196	1.21474	8.70394E-8	0.160164	30.0	30.0	30.0	22.0473	30.0	29.5531	2.46244E-7	30.0	2.49453E-7	4.93096E-7	1.67791	9.76952E-8	5.829	30.0	1.88315E-7	1.51714	8.37671	1.95072E-5	x120:	30.0	26.3989	18.4687	20.583	2.95231	3.23317E-8	30.0	21.6859	18.2515	15.484	26.0608	30.0	30.0	2.44118	17.8708	24.4031	24.6973	16.0315	25.5439	21.1838	26.2232	16.7066	21.3614	30.0	17.701	16.5182	30.0	29.8258	29.8551	16.3943	8.74729E-8	14.0273	5.90253	18.3726	9.64609E-6	16.9571	9.98277	5.614	30.0	1.13615E-7	7.5946	1.40531	14.1432	3.17884	21.2114	13.2537	9.90753E-8	1.38903E-7	4.97975	3.57079E-7	6.37612	0.325426	21.3999	17.4315	4.58685E-7	2.10515E-6	28.8697	1.9248	1.77566	17.1871	26.5646	12.8756	8.72595	15.8046	x155:	1.09209E-6	2.53457E-6	19.0777	1.33371E-7	2.69325E-8	3.70003E-8	30.0	4.04446E-7	9.50268	10.5491	14.8812	8.88369	23.9191	2.80996E-7	1.2466E-7	30.0	7.33409	11.0899	7.53315	8.99388	3.94214	22.7998	12.5725	8.3027E-8	27.9964	2.99987E-6	2.17902E-6	7.32117	6.54618	4.50094	15.6305	9.91222	1.1136E-7	18.5228	6.18197	4.15805	10.2402	5.65664	5.19369	15.0212	0.948643	1.19971E-7	15.6319	8.74797	3.29161	11.8821	3.39758	4.20136	14.129	2.82867E-7	1.33522E-7	15.2791	7.15122	8.56671	15.3988	1.72531	4.07367	7.95608	5.56482E-8	6.12717E-7	1.71984	1.41083E-6	7.93404E-8	3.30573E-7	8.85477	16.0399	6.27101	14.2851	23.7072	x220:	12.3281	18.8602	2.95692	5.73173E-7	7.9251	10.284	19.6468	6.43077E-6	1.08132E-7	7.53535E-8	5.31611E-7	3.19796	12.7112	6.97291	13.7208	3.29702	2.93212	3.58357E-8	7.05649E-8	7.42647E-7	4.34006	12.7278	5.80158E-7	9.85391	8.48361	2.87688	7.7634	1.31435E-5	1.98824E-7	9.77668	10.0919	1.68862	8.19359	15.4602	5.80236	9.11773	0.743719	1.43233E-7	13.601	5.72123	2.23743	1.21823	15.5451	3.26342	10.9256	6.61122	1.24261E-7	27.93	26.5956	15.9892	12.5199	19.9357	0.128929	20.4304	9.38527	1.02006E-7	30.0	25.1929	18.1471	11.3785	22.8032	12.9599	30.0	7.9199	1.24517E-7	5.20694	7.79869	30.0	0.395335	5.4083E-8	x250:	12.0112	3.1152	4.67941	8.68542E-6	4.21942E-7	3.27015	11.1591	1.0672	7.47151E-7	5.79898	4.1978	14.0786	12.3598	4.66985E-8	0.303204	0.0958054	8.53877E-7	17.0943	17.5207	11.9588	1.96896	7.83787	1.72245	1.34579E-7	1.00449E-6	14.2358	17.7989	17.172	15.7301	0.248857	8.55175	8.30143	25.929	1.13073E-7	29.0853	30.0	17.3019	30.0	15.9348	27.6076	30.0	17.8625	8.6026E-8	13.3722	18.6302	24.5938	29.7803	20.1505	30.0	20.4587	17.6247	4.5164	8.73183	21.8246	27.8572	23.3608	30.0	27.605	7.08012	30.0	30.0	30.0	21.5043	12.1088	7.37246E-4	
1745 Seconds 	rMIP ended, algorithm ended
